Sensor,Timestamp,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z
Left thigh;0,170910;-0,162109375;-0,949462890625;-0,153076171875;-0,144958496094;2,08282470703;4,638671875
Left tibia;0,173258;0,340087890625;-0,95849609375;-0,084228515625;23,8342285156;-19,1345214844;-107,597351074
Left foot;0,174422;0,419921875;-0,0380859375;0,337158203125;-27,8854370117;-3,41033935547;-47,6531982422
Right thigh;Right tibia;0,177147;0,400390625;-1,22729492188;0,267822265625;8,68225097656;20,7748413086;-90,5914306641
Right foot;0,179658;-0,10791015625;-0,634765625;1,15551757812;7,04193115234;-77,0874023438;-74,0814208984
Left hand;0,180917;1,02001953125;0,070068359375;0,270263671875;40,3289794922;13,8168334961;3,53240966797
Left forearm;0,182119;0,114013671875;-0,887451171875;0,285888671875;-20,0576782227;4,92858886719;8,17108154297
Left biceps;0,183304;0,04541015625;-0,888671875;0,233642578125;12,2299194336;18,1427001953;-34,5916748047
Right hand;0,185608;0,934326171875;-0,46337890625;0,357421875;-0,984191894531;16,7694091797;12,2528076172
Right forearm;0,186786;-0,077392578125;-0,853515625;0,396240234375;-6,77490234375;-10,1013183594;0,419616699219
Right biceps;0,187955;-0,35986328125;-0,877685546875;0,21240234375;7,88879394531;-23,3535766602;-2,34222412109
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,193883;1,08422851562;0,288330078125;0,2138671875;3,33404541016;-21,125793457;3,18908691406
Belly button;0,195110;0,376708984375;1,13818359375;0,140625;7,53784179688;13,9465332031;-33,9813232422
Sternum;0,197443;0,650390625;0,041259765625;0,767333984375;1,0986328125;1,54113769531;-16,0217285156
Head;0,198614;1,0263671875;0,0;0,310791015625;2,90679931641;7,84301757812;1,23596191406
Left thigh;0,199857;-0,17431640625;-0,960693359375;-0,123291015625;0,534057617188;6,103515625;-0,457763671875
Left tibia;0,201025;0,320556640625;-0,869140625;-0,026123046875;23,1399536133;-26,3519287109;-117,91229248
Left foot;0,203340;0,251220703125;-0,08154296875;-0,29345703125;-89,0045166016;-69,694519043;-35,1333618164
Right thigh;Right tibia;0,205691;0,489501953125;-0,97509765625;0,3408203125;3,18908691406;49,0570068359;-103,088378906
Right foot;0,206906;-0,04736328125;-0,583740234375;1,119140625;84,5108032227;-184,875488281;-106,101989746
Left hand;0,220119;0,9716796875;0,111572265625;0,2216796875;40,8172607422;3,72314453125;6,4697265625
Left forearm;0,221666;0,136474609375;-0,85546875;0,306884765625;-20,3247070312;8,03375244141;2,58636474609
Left biceps;0,223304;0,08349609375;-0,85498046875;0,224853515625;11,7645263672;14,3585205078;-33,8287353516
Right hand;0,224727;0,905517578125;-0,470947265625;0,32861328125;-11,3220214844;20,6909179688;24,0325927734
Right forearm;0,229237;-0,1845703125;-0,79248046875;0,295166015625;-14,6636962891;1,0986328125;3,55529785156
Right biceps;0,230900;-0,358154296875;-0,869140625;0,21044921875;13,2751464844;-23,6892700195;5,74493408203
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,246172;1,19262695312;0,505615234375;0,22314453125;-7,75909423828;-34,3246459961;6,67572021484
Belly button;0,247890;0,488525390625;1,0927734375;-0,00244140625;-2,69317626953;25,1007080078;-43,0603027344
Sternum;0,249525;0,691650390625;0,0390625;0,808349609375;-1,56402587891;3,44848632812;-22,4990844727
Head;0,255996;1,01782226562;-0,0185546875;0,30078125;5,79071044922;8,09478759766;3,44848632812
Left thigh;0,257565;-0,2041015625;-0,945556640625;-0,1162109375;-0,999450683594;-0,42724609375;-0,686645507812
Left tibia;0,259217;0,359130859375;-0,919921875;-0,047119140625;10,7955932617;-22,590637207;-114,379882812
Left foot;0,260639;0,782470703125;-0,322998046875;0,2734375;-107,727050781;-79,704284668;-44,8379516602
Right thigh;Right tibia;0,265087;0,367431640625;-0,985107421875;0,267333984375;4,33349609375;31,7687988281;-91,8045043945
Right foot;0,266204;-0,013671875;-0,60888671875;0,96533203125;181,396484375;-197,410583496;-19,1116333008
Left hand;0,267477;1,02001953125;0,123779296875;0,220947265625;30,6549072266;7,63702392578;3,57055664062
Left forearm;0,269887;0,21484375;-1,01977539062;0,357177734375;-28,7017822266;15,6631469727;8,07189941406
Left biceps;0,271224;0,097412109375;-0,851806640625;0,27099609375;8,08715820312;-6,37817382812;-31,3949584961
Right hand;0,272429;0,892822265625;-0,470458984375;0,30078125;4,638671875;21,9345092773;27,961730957
Right forearm;0,273589;-0,21337890625;-0,74853515625;0,235107421875;-21,858215332;-14,3051147461;13,7939453125
Right biceps;0,276061;-0,357177734375;-0,865966796875;0,21484375;18,3334350586;-19,9661254883;6,02722167969
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,282031;1,19799804688;0,166259765625;-0,032958984375;-12,3672485352;-24,3911743164;2,93731689453
Belly button;0,283250;0,351318359375;0,845458984375;0,0107421875;6,41632080078;6,19506835938;-19,157409668
Sternum;0,284447;0,713134765625;0,071533203125;0,796875;-6,24084472656;7,46917724609;-28,2974243164
Head;0,285630;1,00610351562;-0,030029296875;0,320068359375;11,4059448242;6,74438476562;9,30023193359
Left thigh;0,287955;-0,2138671875;-0,954833984375;-0,120361328125;-0,06103515625;-6,28662109375;-1,35803222656
Left tibia;0,289120;0,429443359375;-0,908447265625;0,0009765625;3,72314453125;-6,05773925781;-92,1325683594
Left foot;0,290618;1,17041015625;-0,307373046875;0,576904296875;-59,7763061523;-101,226806641;-65,5517578125
Right thigh;Right tibia;0,294355;0,28076171875;-0,877197265625;0,06787109375;-13,2904052734;-27,1148681641;-73,486328125
Right foot;0,295675;-1,90600585938;-0,241455078125;1,99993896484;109,848022461;-22,3159790039;159,278869629
Left hand;0,296861;1,03002929688;0,106201171875;0,246337890625;13,5650634766;9,70458984375;0,54931640625
Left forearm;0,298020;0,20654296875;-1,05322265625;0,375244140625;-26,7333984375;26,4739990234;13,6566162109
Left biceps;0,300362;0,109619140625;-0,904541015625;0,30517578125;6,18743896484;-9,31549072266;-34,8663330078
Right hand;0,301525;0,87841796875;-0,3994140625;0,259033203125;27,4429321289;21,9192504883;25,9704589844
Right forearm;0,302754;-0,263916015625;-0,71875;0,18994140625;-26,0848999023;-27,3895263672;16,1819458008
Right biceps;0,303937;-0,351806640625;-0,854248046875;0,23095703125;20,0729370117;-15,2587890625;4,28771972656
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,309974;0,8466796875;0,05078125;0,053466796875;-9,04846191406;-6,65283203125;6,00433349609
Belly button;0,312387;0,328369140625;0,84619140625;0,1484375;15,4571533203;-7,29370117188;-12,9089355469
Sternum;0,313574;0,95849609375;0,118408203125;0,966796875;-8,65936279297;3,24249267578;-29,899597168
Head;0,314750;0,93115234375;-0,0185546875;0,31396484375;15,1596069336;1,35803222656;12,8326416016
Left thigh;0,315906;-0,184814453125;-0,957763671875;-0,1220703125;-0,541687011719;-7,97271728516;-2,685546875
Left tibia;0,318226;0,437744140625;-0,835205078125;0,10595703125;-11,0168457031;25,8941650391;-49,4842529297
Left foot;0,319452;1,99993896484;-2,0;-0,165771484375;146,97265625;249,992370605;-191,215515137
Right thigh;Right tibia;0,321837;0,543701171875;-0,88525390625;0,151123046875;-9,65881347656;-43,9910888672;-84,5489501953
Right foot;0,324267;-1,35766601562;0,43408203125;1,6689453125;22,8271484375;43,6706542969;-12,4359130859
Left hand;0,325425;1,00561523438;0,060302734375;0,256103515625;10,498046875;6,64520263672;-0,495910644531
Left forearm;0,326579;0,1220703125;-0,98486328125;0,3544921875;-18,9971923828;34,1415405273;8,11767578125
Left biceps;0,328089;0,110595703125;-0,88818359375;0,320068359375;-4,26483154297;-0,228881835938;-31,0440063477
Right hand;0,330507;0,875244140625;-0,324462890625;0,233154296875;30,1666259766;20,1644897461;21,4767456055
Right forearm;0,332077;-0,3369140625;-0,898193359375;0,211669921875;-23,4222412109;-50,4379272461;2,73895263672
Right biceps;0,333388;-0,345458984375;-0,8388671875;0,235107421875;19,2565917969;-16,5710449219;4,18090820312
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,339515;0,885986328125;0,242919921875;0,033935546875;-15,754699707;-10,9710693359;10,9024047852
Belly button;0,340694;0,35302734375;0,91796875;0,11572265625;21,3241577148;-7,35473632812;-18,2418823242
Sternum;0,343089;0,977294921875;0,023193359375;0,93505859375;-10,8795166016;19,6685791016;-26,4282226562
Head;0,344289;0,915771484375;-0,026611328125;0,294189453125;17,3416137695;-5,79833984375;14,0151977539
Left thigh;0,345526;-0,171630859375;-0,96044921875;-0,133544921875;-0,740051269531;-10,9634399414;-4,10461425781
Left tibia;0,346760;0,364501953125;-0,825439453125;0,073486328125;-26,985168457;54,5425415039;-0,404357910156
Left foot;0,349096;1,013671875;-0,916015625;1,40795898438;-17,3645019531;67,6879882812;-8,51440429688
Right thigh;Right tibia;0,351455;0,44384765625;-0,908447265625;-0,123291015625;-13,2141113281;-56,15234375;-65,7577514648
Right foot;0,352626;-0,946533203125;0,38232421875;1,2197265625;49,2324829102;129,570007324;-57,4722290039
Left hand;0,365141;0,9697265625;0,020751953125;0,302490234375;27,4887084961;2,37274169922;-1,50299072266
Left forearm;0,366616;0,08544921875;-0,875732421875;0,3349609375;-8,31604003906;44,8837280273;-8,64410400391
Left biceps;0,369810;0,104248046875;-0,934814453125;0,310302734375;-5,71441650391;4,89044189453;-24,2767333984
Right hand;0,371342;0,88623046875;-0,310302734375;0,21142578125;27,5115966797;19,1345214844;17,822265625
Right forearm;0,375837;-0,282470703125;-1,02099609375;0,2685546875;-12,2604370117;-61,8057250977;-11,6424560547
Right biceps;0,383999;-0,3505859375;-0,835693359375;0,216552734375;17,2882080078;-17,8756713867;4,97436523438
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,390908;0,947509765625;0,211181640625;0,067138671875;-18,4478759766;-13,3056640625;11,0702514648
Belly button;0,392186;0,3525390625;0,9462890625;0,08154296875;7,84301757812;-16,1437988281;-6,88934326172
Sternum;0,395544;0,95166015625;0,077880859375;0,883056640625;-19,9356079102;20,0881958008;-18,0511474609
Head;0,398901;0,963623046875;-0,02685546875;0,2783203125;18,6462402344;-9,90295410156;14,2974853516
Left thigh;0,400121;-0,15380859375;-0,950439453125;-0,133544921875;-0,785827636719;-6,8359375;-3,94439697266
Left tibia;0,401272;0,280517578125;-0,820068359375;0,046630859375;-43,3197021484;69,6258544922;38,9862060547
Left foot;0,402879;0,856689453125;0,44189453125;0,83447265625;-5,89752197266;20,4849243164;3,173828125
Right thigh;Right tibia;0,406122;0,339111328125;-0,666259765625;0,0673828125;-13,18359375;0,785827636719;-41,7327880859
Right foot;0,407334;-0,68359375;0,02392578125;1,15771484375;67,2912597656;180,122375488;-57,4951171875
Left hand;0,408392;0,89404296875;0,066162109375;0,291748046875;36,865234375;-7,41577148438;-0,312805175781
Left forearm;0,411065;0,117919921875;-0,916259765625;0,325439453125;-2,685546875;54,3823242188;-18,684387207
Left biceps;0,412262;0,040771484375;-0,9873046875;0,29150390625;-2,44903564453;4,24957275391;-26,6723632812
Right hand;0,413382;0,8798828125;-0,29541015625;0,208984375;27,6870727539;17,3873901367;13,1454467773
Right forearm;0,415069;-0,205322265625;-0,94189453125;0,3486328125;-9,55963134766;-17,6239013672;-25,4592895508
Right biceps;0,417356;-0,344482421875;-0,853271484375;0,2158203125;15,7928466797;-15,0451660156;3,18145751953
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,424605;0,986083984375;0,150146484375;0,09228515625;-24,9099731445;-17,4102783203;10,5056762695
Belly button;0,425654;0,41357421875;1,03979492188;0,149169921875;-3,2958984375;-11,2533569336;-4,79125976562
Sternum;0,426775;0,860107421875;0,153564453125;0,7802734375;-21,8353271484;23,3917236328;-14,1677856445
Head;0,428405;0,95849609375;-0,009765625;0,25732421875;17,9214477539;-8,57543945312;13,8626098633
Left thigh;0,432954;-0,1689453125;-0,949951171875;-0,123779296875;-0,213623046875;-6,69097900391;-3,49426269531
Left tibia;0,435207;0,09033203125;-0,970703125;-0,170654296875;-49,6597290039;65,2389526367;83,7326049805
Left foot;0,437013;0,551025390625;0,052734375;0,901611328125;0,129699707031;5,9814453125;-6,93511962891
Right thigh;Right tibia;0,440308;0,304443359375;-0,785400390625;0,10693359375;-6,27136230469;14,9154663086;20,9503173828
Right foot;0,441359;-0,314453125;0,020751953125;1,06469726562;20,0805664062;186,20300293;-14,9307250977
Left hand;0,442476;0,8330078125;0,117431640625;0,26806640625;26,5350341797;-15,7623291016;4,01306152344
Left forearm;0,443628;0,107421875;-0,99169921875;0,30126953125;3,96728515625;59,7534179688;-19,2031860352
Left biceps;0,446123;0,197265625;-1,35424804688;0,278076171875;-13,2141113281;-19,5617675781;-12,1765136719
Right hand;0,447222;0,860595703125;-0,25244140625;0,197998046875;24,2080688477;14,7857666016;9,20867919922
Right forearm;0,448305;-0,228271484375;-0,8544921875;0,433349609375;-8,84246826172;16,5100097656;-17,2958374023
Right biceps;0,449375;-0,32275390625;-0,88916015625;0,21630859375;14,6026611328;-7,8125;0,556945800781
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,454742;1,06005859375;0,23291015625;0,1875;-35,8581542969;-15,2359008789;5,4931640625
Belly button;0,456904;0,320556640625;1,05981445312;0,116943359375;-2,18200683594;-3,84521484375;-21,6979980469
Sternum;0,457956;0,668701171875;0,137939453125;0,56640625;-26,2069702148;23,5137939453;-12,0620727539
Head;0,459055;0,917236328125;-0,000732421875;0,2470703125;15,2969360352;-10,8871459961;11,3830566406
Left thigh;0,460139;-0,17333984375;-0,94970703125;-0,130615234375;0,381469726562;-6,42395019531;-2,41088867188
Left tibia;0,462256;0,509521484375;-0,891845703125;0,255859375;-11,2991333008;-45,0973510742;54,8934936523
Left foot;0,463364;0,399658203125;0,016845703125;0,939697265625;-3,08990478516;8,58306884766;0,564575195312
Right thigh;Right tibia;0,465551;0,352294921875;-0,757080078125;0,169189453125;-8,61358642578;35,7437133789;51,6967773438
Right foot;0,467739;-0,20751953125;-0,12939453125;1,27270507812;-15,8615112305;147,041320801;-19,5083618164
Left hand;0,468797;0,8330078125;0,1298828125;0,2607421875;6,23321533203;-20,5154418945;9,91058349609
Left forearm;0,469846;0,066650390625;-1,13525390625;0,2353515625;15,2435302734;52,604675293;-17,7230834961
Left biceps;0,470936;0,1337890625;-1,25634765625;0,224853515625;-26,9012451172;-13,2675170898;-5,55419921875
Right hand;0,473050;0,873291015625;-0,2470703125;0,189208984375;16,3955688477;12,809753418;2,75421142578
Right forearm;0,474090;-0,23876953125;-0,873779296875;0,402587890625;-6,26373291016;11,5127563477;-11,5661621094
Right biceps;0,475139;-0,322021484375;-0,942626953125;0,2060546875;16,5328979492;-2,20489501953;-4,92858886719
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,480452;1,08837890625;0,236083984375;0,171142578125;-31,4559936523;-15,3961181641;-1,44195556641
Belly button;0,481507;0,39697265625;1,03955078125;0,1611328125;-25,4058837891;-2,48718261719;-24,4598388672
Sternum;0,483921;0,603271484375;0,184326171875;0,524169921875;-20,9732055664;15,2893066406;-7,57598876953
Head;0,484994;0,9609375;-0,001953125;0,26171875;12,5350952148;-11,71875;9,89532470703
Left thigh;0,486042;-0,1484375;-0,95556640625;-0,11279296875;1,28936767578;-1,77001953125;-2,44903564453
Left tibia;0,487203;0,428466796875;-0,803466796875;0,216796875;-48,8586425781;1,89971923828;76,530456543
Left foot;0,489339;0,425048828125;0,06005859375;0,924072265625;-1,0986328125;4,41741943359;5,76782226562
Right thigh;Right tibia;0,491519;0,3291015625;-0,72265625;0,259765625;-17,3187255859;41,5420532227;93,0633544922
Right foot;0,492970;0,064697265625;-0,34912109375;1,2646484375;6,37817382812;126,533508301;7,57598876953
Left hand;0,496509;0,853271484375;0,11376953125;0,28564453125;0,999450683594;-28,0075073242;13,7100219727
Left forearm;0,497550;-0,01416015625;-1,087890625;0,128173828125;36,9873046875;21,5759277344;-18,3334350586
Left biceps;0,498601;0,015869140625;-1,11474609375;0,184814453125;-30,3268432617;-18,8369750977;5,38635253906
Right hand;0,499740;0,888671875;-0,241943359375;0,189453125;13,0386352539;11,7568969727;-4,14276123047
Right forearm;0,501899;-0,344970703125;-0,900390625;0,372802734375;-3,68499755859;-16,0827636719;-7,24792480469
Right biceps;0,512425;-0,28662109375;-1,2109375;0,341796875;18,913269043;14,7399902344;-21,3928222656
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,519484;1,10913085938;0,173095703125;0,21240234375;-23,8647460938;-7,9345703125;-2,27355957031
Belly button;0,520820;0,414794921875;1,03491210938;0,14794921875;-46,8368530273;-18,1274414062;-8,51440429688
Sternum;0,528203;0,719482421875;0,130859375;0,614013671875;-17,1813964844;6,46209716797;-7,59124755859
Head;0,530917;0,940185546875;-0,00390625;0,267822265625;10,7269287109;-10,8871459961;9,99450683594
Left thigh;0,532660;-0,147216796875;-0,955322265625;-0,13427734375;0,640869140625;0,350952148438;0,167846679688
Left tibia;0,533925;-0,056884765625;-0,92919921875;-0,033447265625;-81,3598632812;131,26373291;41,6870117188
Left foot;0,535740;0,42333984375;0,043701171875;0,924072265625;-2,86102294922;3,7841796875;5,43975830078
Right thigh;Right tibia;0,541955;0,324462890625;-0,847900390625;0,27099609375;-19,1650390625;36,979675293;124,809265137
Right foot;0,543474;0,06298828125;-0,31689453125;1,3037109375;-24,7344970703;117,889404297;63,8885498047
Left hand;0,545164;0,900390625;0,12353515625;0,360595703125;16,0522460938;-29,8233032227;14,3356323242
Left forearm;0,547823;-0,067138671875;-0,93896484375;0,0390625;47,8439331055;-3,14331054688;-24,0173339844
Left biceps;0,548915;0,05322265625;-1,06298828125;0,1484375;-22,6745605469;-36,4532470703;18,0740356445
Right hand;0,549952;0,939697265625;-0,22998046875;0,191162109375;11,8942260742;10,4293823242;-11,9323730469
Right forearm;0,551252;-0,2587890625;-0,921630859375;0,56640625;8,09478759766;-9,16290283203;3,43322753906
Right biceps;0,553394;-0,156982421875;-1,076171875;0,31103515625;-2,28118896484;3,36456298828;-35,2020263672
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,558863;1,07641601562;0,205322265625;0,2021484375;-32,9055786133;4,34875488281;-3,58581542969
Belly button;0,560885;0,5078125;1,06518554688;0,09228515625;-49,8580932617;-23,7503051758;8,49151611328
Sternum;0,563145;0,714599609375;0,1103515625;0,677490234375;-17,2958374023;5,05828857422;-7,36236572266
Head;0,565380;0,944580078125;0,01171875;0,28369140625;8,78143310547;-13,6413574219;8,94927978516
Left thigh;0,568490;-0,169189453125;-0,953125;-0,09228515625;0,282287597656;5,22613525391;-0,030517578125
Left tibia;0,569543;-0,53662109375;-1,39916992188;-0,43115234375;-33,6380004883;-17,2882080078;37,7807617188
Left foot;0,570598;0,440673828125;0,072998046875;0,913330078125;-3,11279296875;3,60870361328;0,900268554688
Right thigh;Right tibia;0,573937;0,380126953125;-0,89501953125;0,327880859375;-20,2026367188;27,6794433594;163,803100586
Right foot;0,575045;0,767333984375;-0,250732421875;1,50927734375;-70,2590942383;127,876281738;110,198974609
Left hand;0,576113;0,93896484375;0,177490234375;0,37548828125;27,8625488281;-21,3928222656;18,4097290039
Left forearm;0,577149;-0,027587890625;-0,9306640625;0,01953125;52,0858764648;-25,8636474609;-28,5568237305
Left biceps;0,579250;0,115478515625;-0,940673828125;0,0771484375;-15,0604248047;-14,1983032227;27,1987915039
Right hand;0,580291;1,1396484375;-0,21923828125;0,165771484375;8,6669921875;11,7645263672;-24,1241455078
Right forearm;0,581335;-0,26611328125;-0,915771484375;0,52978515625;21,6293334961;31,1737060547;5,40924072266
Right biceps;0,582395;-0,33837890625;-0,920166015625;0,221923828125;-18,8598632812;-9,32312011719;-37,8494262695
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,588228;1,033203125;-0,03125;-0,0703125;-41,8090820312;3,23486328125;0,358581542969
Belly button;0,590376;0,501953125;1,10278320312;-0,06640625;4,09698486328;-17,1585083008;7,38525390625
Sternum;0,591496;0,680419921875;0,131103515625;0,697021484375;-13,6947631836;2,10571289062;-3,44848632812
Head;0,592549;0,9580078125;-0,002685546875;0,306640625;5,63812255859;-15,0527954102;8,35418701172
Left thigh;0,593601;-0,196044921875;-0,947021484375;-0,102294921875;0,862121582031;3,04412841797;-0,228881835938
Left tibia;0,595826;0,419677734375;-0,900634765625;-0,1279296875;-1,02996826172;-35,1409912109;17,7993774414
Left foot;0,596873;0,43701171875;0,046875;0,92919921875;-2,61688232422;1,85394287109;5,59997558594
Right thigh;Right tibia;0,598993;0,4736328125;-0,9755859375;0,315673828125;-16,2506103516;30,8380126953;200,477600098
Right foot;0,601099;1,63134765625;-0,72802734375;1,09057617188;-88,4628295898;132,369995117;69,2291259766
Left hand;0,602150;0,95703125;0,2490234375;0,3544921875;27,1072387695;-10,9634399414;20,378112793
Left forearm;0,603207;0,1787109375;-1,27587890625;0,06103515625;30,0598144531;-50,3692626953;-7,4462890625
Left biceps;0,604257;0,2001953125;-1,05786132812;0,019775390625;-10,1470947266;13,427734375;35,8276367188
Right hand;0,606409;1,265625;-0,217529296875;0,16064453125;7,88879394531;8,68225097656;-39,909362793
Right forearm;0,607533;-0,3125;-0,937255859375;0,44921875;28,6712646484;36,6592407227;7,46917724609
Right biceps;0,608593;-0,3193359375;-0,9091796875;0,128662109375;-32,8521728516;-45,3262329102;-27,1301269531
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,613897;1,33544921875;-0,057373046875;-0,09326171875;-36,5219116211;7,48443603516;13,4506225586
Belly button;0,614960;0,4375;1,07470703125;-0,05126953125;-12,3062133789;10,2844238281;12,5427246094
Sternum;0,617138;0,598388671875;0,145751953125;0,661376953125;-10,0708007812;4,09698486328;-4,98199462891
Head;0,618196;0,969970703125;-0,00927734375;0,310546875;2,04467773438;-18,7606811523;9,91821289062
Left thigh;0,620186;-0,17724609375;-1,03637695312;-0,079833984375;4,08172607422;-12,1536254883;-0,54931640625
Left tibia;0,622006;0,40869140625;-0,89111328125;-0,12548828125;-17,0059204102;16,2658691406;11,3983154297
Left foot;0,624245;0,410888671875;0,0107421875;0,930419921875;0,0228881835938;-6,38580322266;1,41906738281
Right thigh;Right tibia;0,626740;0,439453125;-0,962890625;0,30078125;-6,69097900391;36,5447998047;214,538574219
Right foot;0,627861;1,99993896484;-0,517822265625;0,396484375;-43,2357788086;96,1456298828;58,3801269531
Left hand;0,630872;0,97412109375;0,27099609375;0,324951171875;19,8211669922;-2,38037109375;13,8931274414
Left forearm;0,632055;0,01513671875;-0,827880859375;0,073974609375;29,9072265625;-95,9396362305;24,5971679688
Left biceps;0,633084;0,127685546875;-1,14111328125;0,0205078125;-12,5885009766;29,2816162109;22,7813720703
Right hand;0,634129;1,17993164062;-0,142333984375;0,123291015625;-9,78088378906;0,953674316406;-38,3987426758
Right forearm;0,636234;-0,294189453125;-0,9599609375;0,39111328125;34,0118408203;36,6744995117;10,7879638672
Right biceps;0,637275;0,22119140625;-0,952392578125;0,076171875;1,03759765625;27,3361206055;-19,5541381836
Left shoulder;Right shoulder;Back pelvis;Front pelvis;0,651995;1,2470703125;0,052490234375;0,0263671875;-33,5083007812;32,9895019531;20,9197998047
